id,menu_cat_id,combo_id,combo_qty,combo_item_id,combo_item_name,combo_item_code,combo_item_qty,update_qty,unit_price,top_up,old_unit_price,is_default,is_delete,brand_id
506,15,999030,0,999030312,"ADD03 Salted Caramel",ADD03,0,0,0.00,1.00,0.00,0,0,2
507,4,999079,1,999079537,"B29 Roselle Tea",B29,1,0,7.18,0.00,0.00,0,0,1
507,15,999030,0,999030313,"ADD04  Milk Cotta","ADD04 ",0,0,0.00,1.00,0.00,0,0,2
508,4,999079,1,999079345,"B01 Thai Iced Tea",B01,1,0,7.18,2.50,0.00,0,0,1
508,15,999030,0,999030314,"ADD05 Mango Cotta",ADD05,0,0,0.00,1.00,0.00,0,0,2
509,4,999079,1,999079346,"B02 Thai Iced Coffee",B02,1,0,7.18,2.50,0.00,0,0,1
509,15,999030,0,999030315,"ADD06 Coffee Jelly",ADD06,0,0,0.00,1.00,0.00,0,0,2
510,4,999079,1,999079347,"B03 Thai Iced Green Tea",B03,1,0,7.18,2.50,0.00,0,0,1
510,15,999030,0,999030381,"ADD013 Red Bean",ADD013,0,0,0.00,1.00,0.00,0,0,2
511,4,999079,1,999079348,"B04 Thai Iced Lemon Tea",B04,1,0,7.18,2.50,0.00,0,0,1
511,15,999030,0,999030380,"ADD014 Black Pearl",ADD014,0,0,0.00,1.00,0.00,0,0,2
512,3,999080,1,999080050,"F10 Yum Mama",F10,1,0,7.90,0.00,7.90,0,0,1
512,15,999030,0,999030319,"ADD015 Grass Jelly",ADD015,0,0,0.00,1.00,0.00,0,0,2
513,4,999080,1,999080033,"B01 Thai Iced Tea",B01,1,0,7.00,0.00,7.00,0,0,1
513,15,999030,0,999030402,"ADD00 NO TOP UP",ADD00,0,0,0.00,1.00,0.00,0,0,2
514,4,999080,1,999080034,"B02 Thai Iced Coffee",B02,1,0,7.00,0.00,7.00,0,0,1
514,15,999030,0,999030135,"ADD08 ADD Oreo Crumb",ADD08,0,0,0.00,1.00,0.00,0,0,2
515,4,999080,1,999080035,"B03 Thai Iced Green Tea",B03,1,0,7.00,0.00,7.00,0,0,1
515,15,999030,0,999030446,"ADD018 Cookies Crumb",ADD018,0,0,0.00,1.00,0.00,0,0,2
516,4,999080,1,999080036,"B04 Thai Iced Lemon Tea",B04,1,0,7.00,0.00,7.00,0,0,1
516,15,999006,0,999006448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
517,2,999081,1,999081063,"R02 Kra Pow Chicken Rice",R02,1,0,11.20,0.00,0.00,0,0,1
517,15,999007,0,999007448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
518,4,999081,1,999081033,"B01 Thai Iced Tea",B01,1,0,7.30,0.00,0.00,0,0,1
518,15,999002,0,999002448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
519,4,999081,1,999081034,"B02 Thai Iced Coffee",B02,1,0,7.30,0.00,0.00,0,0,1
519,15,999003,0,999003448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
520,4,999081,1,999081035,"B03 Thai Iced Green Tea",B03,1,0,7.30,0.00,0.00,0,0,1
520,15,999004,0,999004448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
521,4,999081,1,999081036,"B04 Thai Iced Lemon Tea",B04,1,0,7.30,0.00,0.00,0,0,1
521,15,999005,0,999005448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
522,1,999082,6,999082054,"N01 P. Beef Thai Rice Noodle",N01,6,0,1.76,0.00,0.00,0,0,1
522,15,999019,0,999019448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
523,1,999082,6,999082056,"N03 P. Chick Thai Rice Noodle",N03,6,0,1.76,0.00,0.00,0,0,1
523,15,999020,0,999020448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
524,1,999082,6,999082072,"N09 P. Beef Springy Noodle",N09,6,0,1.76,0.00,0.00,0,0,1
524,15,999021,0,999021448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
525,1,999082,6,999082074,"N11 P. Chick Springy  Noodle",N11,6,0,1.76,0.00,0.00,0,0,1
525,15,999023,0,999023448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
526,1,999082,6,999082581,"N37 Kuey Chap Chicken Rice Noodle",N37,6,0,1.76,0.00,0.00,0,0,1
526,15,999024,0,999024448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
527,1,999082,6,999082582,"N38 Kuey Chap Chicken Springy Noodle",N38,6,0,1.76,0.00,0.00,0,0,1
527,15,999030,0,999030448,"ADD19 Moustache Cream Topping ",ADD19,0,0,0.00,2.00,0.00,0,0,2
528,1,999082,6,999082587,"N43 Kuey Chap Beef Rice Noodle",N43,6,0,1.76,0.00,0.00,0,0,1
528,15,999022,0,999022448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
529,1,999082,6,999082588,"N44 Kuey Chap Beef Springy Noodle",N44,6,0,1.76,0.00,0.00,0,0,1
529,15,999015,0,999015448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
530,1,999082,6,999082094,"N14 D. Beef Thai Rice Noodle",N14,6,0,1.76,0.00,0.00,0,0,1
530,15,999028,0,999028448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
531,1,999082,6,999082096,"N16 D. Chick Thai Rice Noodle",N16,6,0,1.76,0.00,0.00,0,0,1
531,15,999029,0,999029448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
532,1,999082,6,999082490,"N22 D. Beef Thai Springgy Noodle",N22,6,0,1.76,0.00,0.00,0,0,1
532,15,999016,0,999016448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
533,1,999082,6,999082500,"N24 D. Chick Thai Springgy Noodle",N24,6,0,1.76,0.00,0.00,0,0,1
533,15,999025,0,999025448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
534,1,999082,6,999082617,"Y17 Dry T. Beef Thai R. Noodle",Y17,6,0,1.76,0.00,0.00,0,0,1
